Country name,Regional indicator,Continent,Ladder score,Standard error of ladder score,upperwhisker,lowerwhisker,Logged GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Ladder score in Dystopia,Index of Social support,Index of Healthy life expectancy,Index of Freedom to make life choices,Index of Generosity,Index of Perceptions of corruption,Dystopia + residual,Population 2020,Population 2019,"COVID-19 deaths per 100,000 population in 2020",Median age,Island,Index of exposure to COVID-19  infections in other countries as of March 31,Log of average distance to SARS countries,WHO Western Pacific Region,Female head of government,Index of institutional trust,Gini coefficient of income,2017 death count,2018 death count,2019 death count,2020 death count,"Excess deaths in 2020 per 100,000 population, relative to 2017-2019 average"
Germany,Western Europe,Europe,7.155,0.04,7.232,7.077,10.873,0.903,72.5,0.875,0.011,0.46,2.43,0.993,0.757,0.6,0.195,0.306,2.824,83783945,83132799,40.331,46.6,0,4.838,9.018,0,1,0.435,31.1,929351,952295,936772,1000855,73.548
Ireland,Western Europe,Europe,7.085,0.04,7.164,7.006,11.342,0.947,72.4,0.879,0.077,0.363,2.43,1.092,0.753,0.606,0.238,0.367,2.384,4937796,4941444,45.304,38.7,1,3.188,9.1,0,0,0.431,30.6,0,30621,30728,32271,32.32
United Kingdom,Western Europe,Europe,7.064,0.038,7.138,6.99,10.707,0.934,72.5,0.859,0.233,0.459,2.43,1.062,0.757,0.58,0.34,0.306,2.596,67886004,66834405,108.45,40.8,1,5.009,9.087,0,0,0.268,34.07,606874,613309,600532,696705,133.313
Belgium,Western Europe,Europe,6.834,0.034,6.901,6.767,10.823,0.906,72.199,0.783,-0.153,0.646,2.43,0.998,0.747,0.489,0.088,0.187,2.862,11589616,11484055,168.496,41.8,0,6.343,9.071,0,0,0.303,25.6,109278,110341,108436,128952,169.894
France,Western Europe,Europe,6.69,0.037,6.762,6.618,10.704,0.942,74,0.822,-0.147,0.571,2.43,1.081,0.804,0.536,0.092,0.235,2.521,65273512,67059887,99.212,42,0,5.031,9.092,0,0,0.234,29.3,604105,607786,611291,678259,106.597
Malta,Western Europe,Europe,6.602,0.044,6.688,6.516,10.674,0.931,72.2,0.927,0.133,0.653,2.43,1.055,0.747,0.664,0.275,0.183,2.268,441539,502653,49.599,42.4,1,2.822,9.097,0,0,0.403,28.7,3556,3672,3684,4093,96.52
Spain,Western Europe,Europe,6.491,0.042,6.574,6.408,10.571,0.932,74.7,0.761,-0.081,0.745,2.43,1.057,0.826,0.462,0.135,0.124,2.513,46754783,47076781,108.731,45.5,0,4.332,9.172,0,0,0.143,33.2,420589,423994,414914,501106,173.233
Italy,Western Europe,Europe,6.483,0.045,6.572,6.395,10.623,0.88,73.8,0.693,-0.084,0.866,2.43,0.94,0.798,0.379,0.133,0.047,2.794,60461828,60297396,122.654,47.9,0,5.501,9.078,0,0,0.076,33.4,656891,638884,642964,756317,182.298
Cyprus,Western Europe,Europe,6.223,0.049,6.319,6.128,10.576,0.802,73.898,0.763,-0.015,0.844,2.43,0.765,0.801,0.464,0.178,0.061,2.578,875899,1198575,13.586,37.3,1,1.908,8.968,0,0,0.174,29.1,6009,5798,6218,6636,60.513
Portugal,Western Europe,Europe,5.929,0.055,6.037,5.821,10.421,0.879,72.6,0.892,-0.244,0.887,2.43,0.939,0.76,0.621,0.029,0.033,2.225,10196707,10269417,67.728,46.2,0,3.224,9.207,0,0,0.248,32.1,109283,112692,111474,125500,140.235
Greece,Western Europe,Europe,5.723,0.046,5.813,5.632,10.279,0.823,72.6,0.582,-0.288,0.823,2.43,0.811,0.76,0.243,0,0.074,2.561,10423056,10716322,46.416,45.3,0,2.327,9.026,0,1,0.124,32.3,124069,119952,124538,132966,95.679
North Cyprus,Western Europe,Europe,5.536,0.051,5.636,5.435,10.576,0.82,73.898,0.795,0.012,0.626,2.43,0.806,0.801,0.503,0.196,0.2,1.653,0,0,0,0,0,0,0,0,0,0.305,0,0,0,0,0,0
